ក	ka
ញាតិបុត្ត	nheatebott
ញាតិបុត្រ	nheatebotr
ញាតិប្បេត	nheatebbet
ញាតិប្រាំពីរសន្ដាន	nheatebroampirsandan
ញាតិប្រេត	nheatebret
ញាតិផៅសន្ដាន	nheatephausndan
ញាតិពង្ស	nheatepngs
ញាតិពង្សា	nheatepngsa
ញាតិពន្ធ	nheatepnth
ញាតិពលី	nheatepli
ញាតិព្រៀងលាន	nheateprienglean
ញាតិភេទ	nheatephet
ញាតិមិត្ត	nheatemitt
ញាតិវង្ស	nheatevngs
ញាតិវង្សា	nheatevngsa
ញាតិវិវាទ	nheateviveat
ញាតិសង្គហៈ	nheatesngkhak
ញាតិសង្គ្រោះ	nheatesngkruoh
ញាតិសន្ដាន	nheatesndan
ញាតិសន្តាន	nheatesntan
ញាតិសម្ពន្ធ	nheatesmpnth
ញាតិសម្ភេទ	nheatesmphet
ញាតិសាច់	nheatesach
ញាតិសាមគ្គី	nheatesamkki
ញាតិសាលោហិត	nheatesalouhet
ញាតិអញ	nheateanh
ញាតុ	nheato
ញាត់	nhoat
ញាត់ខ្សៀ	nhoatkhsie
ញាត់ប្លុក	nhoatbluk
ញាត់ពម	nhoatpm
ញាត់ពូក	nhoatpuk
ញាន	nhean
ញាប់	nheab
ញាប់ខ្មាញ់	nheabkhmeanh
ញាប់ឆ្មេរ	nheabchhmer
ញាប់ញ័រ	nheabnhr
ញាប់ដៃ	nheabdai
ញាប់ដៃញាប់ជើង	nheabdainheabcheung
ញាប់ទ្បើង	nheabtbaeung
ញាប់មាត់	nheabmoat
ញាប់ស្អេក	nheabsaek
ញាប់ឡើង	nheablaeung
ញាស់	nheas
ញាំ	nhoam
ញាំង	nheang
ញាំញី	nhoamnhi
ញាំត្រសក់	nhoamtrsak
ញាំមាន់	nhoammean
ញាំសាឡាត់	nhoamsalaat
ញិកញ៉ក់	nhiknhk
ញិង	nhing
ញិច	nhich
ញិចបូស	nhichbous
ញិម	nhim
ញី	nhi
ញីក	nhik
ញីច្របល់	nhichrbal
ញីញក់	nhinhk
ញីញញូញ	nhinhnhunh
ញីភ្នែក	nhiphneaek
ញីម្សៅ	nhimsau
ញីវយ៉ក	nhivyk
ញីសំពត់	nhisampt
ញឹក	nhuek
ញឹកញយ	nhueknhoy
ញឹកញាប់	nhueknheab
ញឹកញ៉ក់	nhueknhk
ញឹករទើស	nhuekroteus
ញឹកស្អេក	nhueksaek
ញឹកអីញឹក	nhuekaeinhuek
ញឹន	nhuen
ញឹប	nhueb
ញឹម	nhuem
ញុកញី	nhuknhi
ញុះ	nhuh
ញុះញង់	nhuhnhng
ញុះឱ្យបែកសាមគី្គ	nhuhaoybaeksamkik
ញុះឱ្យបែកសាមគ្គី	nhuhaoybaeksamkki
ញូ	nhu
ញូងញ៉ាំង	nhungnheang
ញូញ	nhunh
ញូដេលី	nhudeli
ញួញ	nhuonh
ញួន	nhuon
ញួយ	nhuoy
ញើញ	nheunh
ញើញញេញធ្មេញ	nheunhnhenhthmenh
ញើប	nheub
ញើស	nheus
ញើសដាបអាវ	nheusdabaav
ញើសទទឹក	nheustotuek
ញើសសម្បោរ	nheussambaor
ញើសសំបោរ	nheussambaor
ញៀច	nhiech
ញៀត	nhiet
ញៀតញាត់	nhietnhoat
ញៀតញឹក	nhietnhuek
ញៀតស្បាត	nhietsbat
ញៀន	nhien
ញៀនអាភៀន	nhienaaphien
ញេច	nhech
ញេចចៃ	nhechchai
ញេចញី	nhechnhi
ញេចបូស	nhechbous
ញេចសង្កើច	nhechsangkaeuch
ញេញ	nhenh
ញេញធ្មេញ	nhenhthmenh
ញេញម្លូ	nhenhmlu
ញេញ្យធម៌	nhenhythom
ញេយ្យធម៌	nheyythom
ញេយ្យធម្ម	nheyythomm
ញែក	nheaek
ញែកចូល	nheaekchoul
ញែកចេញ	nheaekchenh
ញែកទឹក	nheaektuek
ញែកធាតុ	nheaektheato
ញែកព្រៃ	nheaekprey
ញែកវែក	nheaekveaek
ញោច	nhouch
ញោចខ្ញូច	nhouchkhnhuch
ញោចនឹម	nhouchnuem
ញោម	nhoum
ញោមញាតិ	nhoumnheate
ញោមប្រុស	nhoumbrus
ញោមវត្ត	nhoumvott
ញោមសិកា	nhoumseka
ញោមសិការ	nhoumsekar
ញោមស្រី	nhoumsri
ញោមឧបដ្ឋាក	nhoumuobadthak
ញោស	nhous
ញោះ	nhuoh
ញំ	nhum
ញៈ	nheak
ញ៉	nh
ញ៉ក	nhk
ញ៉ន	nhn
ញ៉ប	nhb
ញ៉ម	nhm
ញ៉ាក	nheak
ញ៉ាង	nheang
ញ៉ាច	nheach
ញ៉ាច់	nheach
ញ៉ាញ	nheanh
ញ៉ាថូស្លូម៉ា	nheathouslumea
ញ៉ាប	nheab
ញ៉ាម	nheam
ញ៉ាវ	nheav
ញ៉ាស់	nheas
ញ៉ាំ	nhoam
ញ៉ាំង	nheang
ញ៉ាំងកឋិនុព្ភារៈ	nheangkathenuppheareak
ញ៉ាំញើ	nhoamnheu
ញ៉ាំញ៉ើ	nhoamnheu
ញ៉ាំញ៉ើរ	nhoamnheur
ញ៉ាំទឹក	nhoamtuek
ញ៉ាំបណ្ដើរ	nhoambndaeur
ញ៉ាំបាយ	nhoambay
ញ៉ាំបារី	nhoambari
ញ៉ាំរហ័សឡើង	nhoamrhslaeung
ញ៉ាំលួចលាក់	nhoamluochleak
ញ៉ាំឡើងឆ្អេងពោះ	nhoamlaeungchhaengpuoh
ញ៉ិកញ៉ក់	nhiknhk
ញ៉ិកញ៉ាក់	nhiknheak
ញ៉ិញ	nhinh
ញ៉ិញញ៉ុញ	nhinhnhunh
ញ៉ិបញ៉ុប	nhibnhub
ញ៉ិម	nhim
ញ៉ិមញ៉ុម	nhimnhum
ញ៉ិល	nhil
ញ៉ឹង	nhueng
ញ៉ឹងត្រចៀក	nhuengtrchiek
ញ៉ឹម	nhuem
ញ៉ឹមញ៉ុម	nhuemnhum
ញ៉ឺង	nhueung
ញ៉ុក	nhuk
ញ៉ុកមាត់	nhukmoat
ញ៉ុញ	nhunh
ញ៉ុញគំនិត	nhunhkumnit
ញ៉ុម	nhum
ញ៉ូច	nhuch
ញ៉ូញញ៉ាញ	nhunhnheanh
ញ៉ើក	nheuk
ញ៉េក	nhek
ញ៉េកញ៉ាក	nheknheak
ញ៉េកញ៉ាច	nheknheach
ញ៉េច	nhech
ញ៉េចញ៉ាច	nhechnheach
ញ៉េចញ៉ូច	nhechnhuch
ញ៉េប	nheb
ញ៉េវ	nhev
ញ៉េវញ៉ាវ	nhevnheav
ញ៉េះ	nheh
ញ៉េះញ៉ោះ	nhehnhuoh
ញ៉ែ	nheae
ញ៉ែក	nheaek
ញ៉ែកញ៉ក	nheaeknhk
ញ៉ែង	nheaeng
ញ៉ែងចម្បាំង	nheaengchambang
ញ៉ែងញ៉ង	nheaengnhng
ញ៉ែញ៉ង	nheaenhng
ញ៉ែប៉ប្រែ	nheaebbreae
ញ៉ែម	nheaem
ញ៉ែវែង	nheaeveaeng
ញ៉ែស្រី	nheaesri
ញ៉ោង	nhoung
ញ៉ោះ	nhuoh
ញ័រ	nhr
ញ័រក	nhrk
ញ័រចំប្រប់	nhrchambrb
ញ័រញាក់	nhrnheak
ញ័រដៃ	nhrdai
ញ័រទទាក់	nhrtoteak
ញ័រទទ្រាក់ទទ្រើង	nhrtotreakttreung
ញ័រទទ្រើក	nhrtotreuk
ញ័រទ្រើត	nhrtreut
ញ័រប្រផាប់	nhrbrphab
ញ័រផ្អុក	nhrphaok
ញ័រពោះប៉ផុក	nhrpuohbphok
ញ័រមាត់	nhrmoat
ញ័រមាត់ប៉ប៉ុប	nhrmoatbbub
ញ័ររន្ធត់	nhrrontht
ញ័រសព្វសាច់	nhrsapvsach
ញ័រសាច់	nhrsach
ញ្ញាណ	nhnhean
ញ្រហ្មណ៍	nhrhmn
ដក	dak
ដកក	dakak
ដកកមើល	dakakameul
ដកកម្ពស់	dakakamps
ដកកម្មសិទ្ឋិ	dakakammsetthe
ដកកម្មសិទ្ធិ	dakakammsetthi
ដកខាំ	dakakham
ដកខិម	dakakhem
ដកខិមក្រហម	dakakhemkrham
ដកខិមលឿង	dakakhemloeang
ដកខិមស	dakakhems
ដកខ្យល់	dakakhyl
ដកខ្លួន	dakakhluon
ដកគន្លឹះ	dakakonlueh
ដកគន្លឹះបង	dakakonluehbng
ដកគាំ	dakakoam
ដកឃ្លា	dakakhlea
ដកងា	dakangea
ដកងារ	dakangear
ដកចង្កាមាន់	dakachangkamean
ដកចន្ទន៍	dakachantn
ដកចិត្ត	dakachett
ដកចេញ	dakachenh
ដកច្ទនន៍	dakachtnon
ដកជុក	dakachuk
ដកជួន	dakachuon
ដកដង្ហើម	dakadanghaeum
ដកដង្ហើមធំ	dakadanghaeumthum
ដកដង្ហើមហេប	dakadanghaeumheb
ដកដង្ហើមឮខ្សឺត	dakadanghaeumlueuokhseut
ដកដៃ	dakadai
ដកថង	dakathang
ដកថយ	dakathay
ដកទង	dakatong
ដកទ័ព	dakatp
ដកធ្មុង	dakathmung
ដកធ្មេញ	dakathmenh
ដកបោច	dakabaoch
ដកប្រាក់	dakabreak
ដកផ្កា	dakaphka
ដកផ្អៀង	dakaphaieng
ដកព	dakap
ដកពពារ	dakapopear
ដកពាយ	dakapeay
ដកពិសោធ	dakapisaoth
ដកពិសោធន៍	dakapisaothn
ដកមិនចេញ	dakaminchenh
ដកម៉ៃ	dakamey
ដកយុថ្កា	dakayuthka
ដកសក់	dakasak
ដកសក់ស្កូវ	dakasakskouv
ដកសិទ្ធិ	dakasetthi
ដកសីមា	dakaseimea
ដកសំណាប	dakasamnab
ដកស្កូវ	dakaskouv
ដកស្មៅ	dakasmov
ដកស្រង់	dakasrng
ដកស្លាប	dakasleab
ដកហូត	dakahout
ដកហូតអាវុធ	dakahoutaavuth
ដក់	dak
ដក់ជាប់	dakcheab
ដក់ដឿ	dakdoea
ដក់ដឿ់់	dakdoea
ដក់ព	dakp
ដក់ពាយ	dakpeay
ដក់អារម្មណ៍	dakaarmmn
ដង	dang
ដងក	dangok
ដងកញ្ចាម	dangokanhcham
ដងកណ្ដប	dangokandb
ដងកណ្ដាល	dangokandal
ដងកន្ត្រៃ	dangokantrey
ដងកន្ទុយ	dangokantuy
ដងកាំបិត	dangokambet
ដងកឺ	dangokeu
ដងកើ	dangokaeu
ដងក្ដារ	dangokdar
ដងក្ដោង	dangokdaong
ដងក្តារ	dangoktar
ដងក្តោង	dangoktaong
ដងក្រោម	dangokroum
ដងខ្ទែង	dangokhteaeng
ដងខ្លួន	dangokhluon
ដងគោម	dangokoum
ដងចង្កូត	dangochangkout
ដងចង្វា	dangochangvea
ដងចប	dangochab
ដងចាប៉ី	dangochabi
ដងចែវ	dangochaev
ដងជញ្ជីង	dangochonhching
ដងដឹង	dangodoeng
ដងដោយ	dangodaoy
ដងណោះ	dangonaoh
ដងត្រី	dangotri
ដងថ្នោល	dangothnoul
ដងថ្លឹង	dangothlueng
ដងទង់	dangotong
ដងទន្លេ	dangotonle
ដងទឹក	dangotuek
ដងធ្នូ	dangothnu
ដងនោះ	dangonuoh
ដងបង្ហួរ	dangobanghuor
ដងប៉ាកកា	dangobeakka
ដងប៉ាកា	dangobeaka
ដងប៉ាកាឃ្លី	dangobeakakhli
ដងផ្លូវ	dangophluv
ដងពូថៅ	dangoputhau
ដងពែង	dangopeaeng
ដងព្រែក	dangopreaek
ដងព្រៃ	dangoprey
ដងភ្នំ	dangophnum
ដងមឹង	dangomueng
ដងយោង	dangoyoung
ដងរែក	dangoreaek
ដងរ៉ែក	dangoreaek
ដងរ៉ែកពាប់	dangoreaekpeab
ដងលើ	dangoleu
ដងវែក	dangoveaek
ដងសន្ទូច	dangosantuch
ដងស្ទឹង	dangostueng
ដងស្វាន	dangosvean
ដងអូរ	dangoaour
ដងែ្ក	dangeaek
ដង់ស៊ីតេ	dangsite
ដង្កត់	dangkt
ដង្ករ	dangkr
ដង្កា	dangka
ដង្កាត់	dangkaat
ដង្កាប់	dangkab
ដង្កាប់ចំពុះសេក	dangkabchampuhsek
ដង្កាវ	dangkav
ដង្កាវស្មៅ	dangkavsmov
ដង្កូវ	dangkouv
ដង្កូវចុះ	dangkouvchoh
ដង្កូវចេញពីសាច់	dangkouvchenhpisach
ដង្កូវឈើ	dangkouvchheu
ដង្កូវដឹកឧស	dangkouvdoekuos
ដង្កូវដួង	dangkouvduong
ដង្កូវឌួង	dangkouvduong
ដង្កូវទឹក	dangkouvtuek
ដង្កូវនាង	dangkouvneang
ដង្កូវបាក់ខ្នង	dangkouvbakkhnng
ដង្កូវប្រហុក	dangkouvbrhok
ដង្កូវមមីស	dangkouvmomis
ដង្កូវមេអំបៅ	dangkouvmeaambau
ដង្កូវរមាស់	dangkouvromeas
ដង្កូវរុក	dangkouvruk
ដង្កូវវារវើក	dangkouvvearveuk
ដង្កូវសង្គម	dangkouvsangkm
ដង្កូវសាច់	dangkouvsach
ដង្កៀប	dangkieb
ដង្កៀបក្ដាម	dangkiebkdam
ដង្កែ	dangkae
ដង្កោ	dangkao
ដង្កោខ្មោច	dangkaokhmouch
ដង្ខៅ	dangkhau
ដង្ខៅចោរ	dangkhauchaor
ដង្ខៅឈើ	dangkhauchheu
ដង្គត់	dangkt
ដង្គត់ឈើ	dangktchheu
ដង្គត់បុះជើង	dangktbohcheung
ដង្គន់	dangkn
ដង្គិច	dangkich
ដង្គុំ	dangkum
ដង្គុំព្រៃ	dangkumprey
ដង្គុំំ	dangkumum
ដង្គួរ	dangkuor
ដង្គោល	dangkoul
ដង្វាយ	dangveay
ដង្វិន	dangvin
ដង្ហក់	danghk
ដង្ហក់ញាប់	danghknheab
ដង្ហាក់	danghak
ដង្ហាល់	danghal
ដង្ហិត	danghet
ដង្ហិតខ្មោច	danghetkhmouch
ដង្ហិតឆ្នៀង	danghetchhnieng
ដង្ហូរដង្ហែ	danghourdanghae
ដង្ហើម	danghaeum
ដង្ហើមចង្រិត	danghaeumchangrit
ដង្ហើមចូល	danghaeumchoul
ដង្ហើមចេញ	danghaeumchenh
ដង្ហើមញាប់	danghaeumnheab
ដង្ហើមទឹក	danghaeumtuek
ដង្ហើមធំ	danghaeumthum
ដង្ហើមរស់	danghaeumros
ដង្ហើមវែង	danghaeumveaeng
ដង្ហែ	danghae
ដង្ហែក	danghaek
ដង្ហែក្បួន	danghaekbuon
ដង្ហែដង្ហោយ	danghaednghaoy
ដង្ហោយ	danghaoy
ដង្ហោយយំ	danghaoyyum
ដង្ហោយហៅ	danghaoyhau
ដដាក់	dadak
ដដុស	dados
ដដែល	dadael
ដដោះ	dadaoh
ដណ្ដប់	dandb
ដណ្ដប់ក្រមា	dandbkrmea
ដណ្ដប់ភួយ	dandbphuoy
ដណ្ដប់មេឃ	dandbmekh
ដណ្ដប់សំពត់	dandbsampt
ដណ្ដាំ	dandam
ដណ្ដាំបាយ	dandambay
ដណ្ដាំស្ល	dandamsl
ដណ្ដឹង	dandoeng
ដណ្ដឹងកូនគេ	dandoengkounke
ដណ្ដឹងតាមច្បាប់	dandoengtamchbab
ដណ្ដឹងប្រពន្ឋ	dandoengbrponth
ដណ្ដឹងសួរ	dandoengsuor
ដណ្ដូន	dandoun
ដណ្ដើម	dandaeum
ដណ្ដើមកៅអីគ្នា	dandaeumkauaeiknea
ដណ្ដើមគ្នា	dandaeumknea
ដណ្ដើមជជែក	dandaeumchocheaek
ដណ្ដើមយក	dandaeumyok
ដណ្ដើមរាជ្យ	dandaeumreachy
ដណ្តប់	dantb
ដណ្តប់ក្រមា	dantbkrmea
ដណ្តប់ភួយ	dantbphuoy
ដណ្តប់សំពត់	dantbsampt
ដណ្តាំបាយ	dantambay
ដណ្តឹង	dantoeng
ដណ្តើម	dantaeum
ដណ្ហើម	danhaeum
ដទៃ	datey
ដទៃទៀត	dateytiet
ដទៃផ្សេង	dateyphseng
ដទៃពី	dateypi
ដន់ត្រី	dantri
ដន្ត្រី	dantri
ដន្លង	danlng
ដន្លងដងស្នែង	danlngodangosneaeng
ដន្លងប្រុស	danlngobrus
ដន្លងស្រី	danlngosri
ដន្លាប់	danleab
ដន្លាប់ភ្លុក	danleabphluk
ដន្លាប់ស្នេហ៍់	danleabsneh
ដប	dab
ដបទា	dabatea
ដបទៀម	dabatiem
ដបប្រេង	dababreng
ដបមួយ	dabamuoy
ដបសុរា	dabasorea
ដប់	dab
ដប់កោដិ	dabkaode
ដប់គត់	dabkt
ដប់ញ៉ុក	dabnhuk
ដប់ដំប	dabdamb
ដប់ដំបង	dabdambng
ដប់ប្រាំ	dabbroam
ដប់ពាន់	dabpean
ដប់ពីរ	dabpir
ដប់មួយ	dabmuoy
ដប់លាន	dablean
ដម	dam
ដរ	dar
ដរធរ	darothor
ដរាប	dareab
ដរាបដល់	dareabdal
ដរាបណា	dareabna
ដរាបតទៅ	dareabtatov
ដរាបទៅមុខ	dareabtovmukh
ដរាបមក	dareabmok
ដរាបរៀងទៅ	dareabriengtov
ដរាបៈ	dareabak
ដលចៃ	dalochai
ដលោក	dalouk
ដល់	dal
ដល់ក	dalk
ដល់កន្លែង	dalknleaeng
ដល់កម្រិត	dalkmrit
ដល់កាលណា	dalkalna
ដល់កំណត់	dalkamnt
ដល់កំណត់ហើយ	dalkamnthaeuy
ដល់កំបោរ	dalkambaor
ដល់ក្រោយមក	dalkrouymok
ដល់ក្ស័យជីពជន្ម	dalksaichipchonm
ដល់ខ្នាតហើយ	dalkhneathaeuy
ដល់គ្នា	dalknea
ដល់ចិត្ត	dalchett
ដល់ច្រកចង្អៀត	dalchrkachangaiet
ដល់ដៃ	daldai
ដល់ណា	dalna
ដល់ណាដល់ណី	dalnadlnei
ដល់តិច	daltech
ដល់តែ	daltae
ដល់តែម្ដង	daltaemdng
ដល់តែម្តង	daltaemtng
ដល់ត្រើយ	daltreuy
ដល់ត្រើយសើយគូថ	daltreuysaeuykuth
ដល់ត្រើយសើយគូទ	daltreuysaeuykut
ដល់ថ្នាក់ហ្នឹងហើយ	dalthneakhnuenghaeuy
ដល់ទិវង្គត	daltivngkt
ដល់ទី	dalti
ដល់ទីបំផុត	daltibamphot
ដល់ទៅ	daltov
ដល់ទៅម្ល៉ោះ	daltovmluoh
ដល់ធី	dalthi
ដល់នូវសរីរភេទ	dalnuvsarirphet
ដល់ពេល	dalpel
ដល់ពេលចប់រឿង	dalpelchabroeang
ដល់ពេលណា	dalpelna
ដល់ពេលហើយ	dalpelhaeuy
ដល់ពេលហើយដែល	dalpelhaeuydael
ដល់មុន	dalmun
ដល់ម៉ោង	dalmoung
ដល់ម៉ោងល្មម	dalmounglmm
ដល់ម៉ោងហើយ	dalmounghaeuy
ដល់ម្ល៉េះ	dalmleh
ដល់យូរទៅ	dalyurtov
ដល់យ៉ាងហើយ	dalyeanghaeuy
ដល់វេន	dalven
ដល់សូរ	dalsour
ដល់ស្លាប់	dalsleab
ដល់ហើយ	dalhaeuy
ដល់អញ្ចឹង	dalanhchoeng
ដល់អាយុ	dalaayu
ដសដួស	dasaduos
ដស្តំ	dastam
ដា	da
ដាការ	dakar
ដាក់	dak
ដាក់កក់	dakkk
ដាក់កម្រិត	dakkmrit
ដាក់ការធ្វើ	dakkarthveu
ដាក់ការឲ្យធ្វើ	dakkaraoythveu
ដាក់កុង	dakkong
ដាក់កំណត់	dakkamnt
ដាក់កំរិត	dakkamrit
ដាក់កំហិត	dakkamhet
ដាក់ក្ដោងចុះ	dakkdaongchoh
ដាក់ក្ដោងឡើង	dakkdaonglaeung
ដាក់ក្រោម	dakkroum
ដាក់ក្រោល	dakkroul
ដាក់ក្រៅការប្រយុទ្ធ	dakkrovkarbryutth
ដាក់ខែ	dakkhae
ដាក់ខ្នោះ	dakkhnuoh
ដាក់ខ្លាញ់	dakkhleanh
ដាក់ខ្លួន	dakkhluon
ដាក់ខ្សែក្រវាត់	dakkhsaekrvoat
ដាក់គន្លឹះ	dakknlueh
ដាក់គយល្បាត	dakkyolbat
ដាក់គុក	dakkuk
ដាក់គូទប៉ុក	dakkutbuk
ដាក់គូទអង្គុយ	dakkutaangkuy
ដាក់គេដាក់ឯង	dakkedakaeng
ដាក់គ្នា	dakknea
ដាក់គ្រាប់	dakkreab
ដាក់គ្រឿង	dakkroeang
ដាក់ឃុំឃាំង	dakkhumkheang
ដាក់ឃ្នាង	dakkhneang
ដាក់ចង្កំ	dakchngkam
ដាក់ចម្រុះ	dakchmruh
ដាក់ចម្រូង	dakchmrung
ដាក់ចានរាយជាជួរ	dakchanreaycheachuor
ដាក់ចិត្ត	dakchett
ដាក់ចុះ	dakchoh
ដាក់ចេញ	dakchenh
ដាក់ចោលរៀរ៉ាយ	dakchaolriereay
ដាក់ចំកន្លែងខ្លាញ់	dakchamknleaengkhleanh
ដាក់ចំកន្លែងលុយ	dakchamknleaengluy
ដាក់ចំណុះ	dakchamnoh
ដាក់ចំរុះ	dakchamruh
ដាក់ច្រវ៉ាក់	dakchrveak
ដាក់ជា	dakchea
ដាក់ជី	dakchi
ដាក់ជុច	dakchuch
ដាក់ជួលឲ្យ	dakchuolaoy
ដាក់ជើងទៅលើ	dakcheungtovleu
ដាក់ឈាន	dakchhean
ដាក់ឈើស្ទប់	dakchheustb
ដាក់ឈ្មោះ	dakchhmuoh
ដាក់ដាំ	dakdam
ដាក់ដុំគ្នា	dakdomknea
ដាក់ដឿ	dakdoea
ដាក់ដេញថ្លៃ	dakdenhthley
ដាក់ដៃ	dakdai
ដាក់ដោយខ្លួន	dakdaoykhluon
ដាក់ដោយរួត	dakdaoyruot
ដាក់ដោយសង្កាត់	dakdaoysangkaat
ដាក់តាង	daktang
ដាក់តាមខ្នាត	daktamkhneat
ដាក់តាមយថាក្រម	daktamyothakrm
ដាក់តិច	daktech
ដាក់តំណាំង	daktamnang
ដាក់ត្រពោកអង្គុយ	daktrpoukaangkuy
ដាក់ត្រួតគ្នា	daktruotknea
ដាក់ត្រួតលើគ្នា	daktruotleuknea
ដាក់ថង់អង្ករ	dakthngangkr
ដាក់ថ្នក់	dakthnk
ដាក់ថ្នាំ	dakthnoam
ដាក់ថ្នាំមិនជល់	dakthnoamminchol
ដាក់ថ្វាយ	dakthveay
ដាក់ទណ្ឌកម្ម	daktndkamm
ដាក់ទល់គ្នា	daktlknea
ដាក់ទាន	daktean
ដាក់ទាហាន	dakteahan
ដាក់ទិស	daktis
ដាក់ទឹកមុខ	daktuekmukh
ដាក់ទូត	daktut
ដាក់ទោស	daktous
ដាក់ទោសពេញច្បាប់	daktouspenhchbab
ដាក់ទោសឲ្យពេញច្បាប់	daktousaoypenhchbab
ដាក់ទៅក្នុងទឹក	daktovknungtuek
ដាក់ទំនាយ	daktumneay
ដាក់ធម៌ទុកសិន	dakthmtuksen
ដាក់ធុរៈ	dakthureak
ដាក់ធ្មេញ	dakthmenh
ដាក់បង្ហែគ្នា	dakbnghaeknea
ដាក់បញ្ចាំ	dakbnhcham
ដាក់បញ្ចូល	dakbnhchoul
ដាក់បញ្ជ្រិះ	dakbnhchris
ដាក់បញ្ញត្តិ	dakbnhnhtte
ដាក់បណ្ដាសា	dakbndasa
ដាក់បណ្ដៅ	dakbndau
ដាក់បន្ទុក	dakbntuk
ដាក់បាត្រ	dakbatr
ដាក់បិណ្ឌ	dakbend
ដាក់បួរស៊ែម	dakbuorseaem
ដាក់បេក្ខភាព	dakbekkhpheap
ដាក់បំពាំ	dakbampoam
ដាក់ប៉ាច់	dakbeach
ដាក់ប្រេង	dakbreng
ដាក់ផ្កាប់	dakphkab
ដាក់ផ្ងារ	dakphngear
ដាក់ផ្ទាប់	dakphteab
ដាក់ផ្នួស	dakphnuos
ដាក់ផ្លាកសំគាល់	dakphleaksamkeal
ដាក់ផ្លែ	dakphleae
ដាក់ផ្លែដាក់ផ្កា	dakphleaedakphka
ដាក់ផ្លែផ្កា	dakphleaephka
ដាក់ពាក្យ	dakpeaky
ដាក់ពាក្យសុំ	dakpeakysom
ដាក់ពីមុខ	dakpimukh
ដាក់ពីលើ	dakpileu
ដាក់ព្រំ	dakprum
ដាក់ព្រះកេស	dakpreahkes
ដាក់ភ្នាល់	dakphneal
ដាក់ភ្នែក	dakphneaek
ដាក់ភ្លើង	dakphleung
ដាក់មង	dakmng
ដាក់មុខ	dakmukh
ដាក់មុខចុះ	dakmukhchoh
ដាក់មុខជ្រប់	dakmukhchrb
ដាក់មុខពាប់	dakmukhpeab
ដាក់មុខរញម	dakmukhronhom
ដាក់មូលដ្ឋាន	dakmuldthan
ដាក់មួយកែង	dakmuoykaeng
ដាក់មួយសម្រាស់	dakmuoysamreas
ដាក់មេប្រូចបាត់	dakmebruchbaat
ដាក់មេផាយ	dakmephay
ដាក់រទេះ	dakrteh
ដាក់រាជ្យ	dakreachy
ដាក់រាយ	dakreay
ដាក់រាយទ័ព	dakreaytp
ដាក់រួត	dakruot
ដាក់រួមគ្នា	dakruomknea
ដាក់រៀង	dakrieng
ដាក់រៀងគ្នា	dakriengknea
ដាក់រៀរ៉ាយ	dakriereay
ដាក់លក្ខខ័ណ្ឌ	daklkkhkhnd
ដាក់លប	daklb
ដាក់លាយគ្នា	dakleayknea
ដាក់លាយលំ	dakleaylum
ដាក់លាយឡំ	dakleaylam
ដាក់លុយ	dakluy
ដាក់លើ	dakleu
ដាក់លើក	dakleuk
ដាក់លេខ	daklekh
ដាក់ល័ក្ខខ័ណ្ឌ	daklkkhkhnd
ដាក់វិញ	dakvinh
ដាក់វេនគ្នា	dakvenknea
ដាក់សង្ឃឹម	daksngkhuem
ដាក់សណ្ដ	daksnd
ដាក់សម្បថ	daksmbth
ដាក់សៀវភៅ	daksievphov
ដាក់សៀវភៅលើតុ	daksievphovleuto
ដាក់សំញ៉ែង	daksamnheaeng
ដាក់សំបថ	daksambth
ដាក់ស្ទួន	dakstuon
ដាក់ស្នើ	daksneu
ដាក់ស្នៀតគុន	daksnietkun
ដាក់ស្នេហ៍	daksneh
ដាក់ស្មើ	daksmeu
ដាក់ហ៊ុនជាមួយ	dakhuncheamuoy
ដាក់ឡេវ	daklev
ដាក់អន្ទាក់	dakanteak
ដាក់អម្រែក	dakamreaek
ដាក់អាវុធ	dakaavuth
ដាក់អោយ	dakaaoy
ដាក់អោយធ្ងន់	dakaaoythngn
ដាក់អោយរៀង	dakaaoyrieng
ដាក់ឲ្យ	dakaoy
ដាក់ឲ្យដឹង	dakaoydoeng
ដាក់ឲ្យទាប	dakaoyteab
ដាក់ឲ្យធ្ងន់	dakaoythngn
ដាក់ឲ្យនឹង	dakaoynueng
ដាក់ឲ្យរៀបរយ	dakaoyriebroy
ដាក្រុង	dakrung
ដាង	dang
ដាច	dach
ដាចដាច	dachdach
ដាច់	dach
ដាច់កន្ទុយពស់	dachkntuypos
ដាច់ក្បាលដាច់កន្ទុយ	dachkbaldachkntuy
ដាច់ខាត	dachkhat
ដាច់ខែ	dachkhae
ដាច់ខែចាម	dachkhaecham
ដាច់ខ្យល់	dachkhyl
ដាច់ខ្សែ	dachkhsae
ដាច់គេ	dachke
ដាច់ចិត្ត	dachchett
ដាច់ឆ្នាំ	dachchhnoam
ដាច់ជើង	dachcheung
ដាច់ឈាន	dachchhean
ដាច់ដង្ហើម	dachdnghaeum
ដាច់ដាច	dachdach
ដាច់ដាប	dachdab
ដាច់ដៃ	dachdai
ដាច់ដោច	dachdaoch
ដាច់ដោយឡែក	dachdaoylaek
ដាច់ត្មិល	dachtmil
ដាច់ត្រណម	dachtrnam
ដាច់ថ្លៃ	dachthley
ដាច់ពីគេ	dachpike
ដាច់ពោះ	dachpuoh
ដាច់ព្រ័ត	dachprt
ដាច់មុខ	dachmukh
ដាច់យ៉ៃ	dachyey
ដាច់រប៉ាយ	dachrbeay
